Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2024-12-24 11:05:20,false,"Fuerza","0.00","398","00:41:01","120","153","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","18","9","1","-6","--","No","00:41:01","1","--","--","--","--","00:41:01","00:41:01","--","--"
Running,2024-12-21 22:17:12,false,"Eindhoven Carrera","10.27","1,026","01:26:35","135","173","3.2","110","231","8:26","2:27","62","68","0.98","8.6","8.3","272","8:37","329","0.0","238","888","--","--","--","10,444","--","--","-8","--","No","00:01:35.2","11","--","--","--","--","01:05:09","01:48:01","10","50"
Skating,2024-12-21 14:41:31,false,"Eindhoven Patinaje","14.31","761","00:58:11","141","173","3.6","--","--","14.8","20.9","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,694","--","--","-9","--","No","00:58:11","1","--","--","--","--","00:58:10","00:59:55","--","--"
Cardio,2024-12-21 11:09:08,false,"CrossFit","0.00","521","00:38:59","142","194","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,186","--","--","-8","--","No","00:38:59","1","--","--","--","--","00:00:00","00:38:59","--","--"
Skating,2024-12-20 14:18:06,false,"Eindhoven Patinaje","10.78","703","01:05:43","130","163","2.7","--","--","9.8","19.4","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,946","--","--","-9","--","No","01:05:43","1","--","--","--","--","01:03:25","01:16:39","--","--"
Cardio,2024-12-18 19:39:23,false,"CrossFit","0.00","562","00:40:10","150","184","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,776","--","--","-4","--","No","00:40:10","1","--","--","--","--","00:00:00","00:40:10","--","--"
Cycling,2024-12-18 09:35:57,false,"Eindhoven Ciclismo","40.07","1,285","02:57:12","114","157","2.3","--","--","13.6","35.0","72","87","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-13","--","No","00:00:07.2","9","--","--","--","--","02:13:40","02:57:12","20","39"
Cardio,2024-12-16 19:35:56,false,"CrossFit","0.00","503","00:37:46","147","179","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,262","--","--","-5","--","No","00:37:46","1","--","--","--","--","00:00:00","00:37:46","--","--"
Cycling,2024-12-16 12:09:37,false,"Eindhoven Ciclismo","35.61","1,198","02:34:52","119","165","2.8","--","--","13.8","29.4","69","68","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-13","--","No","00:01:40.3","8","--","--","--","--","01:57:39","02:34:52","15","26"
Cardio,2024-12-11 19:38:09,false,"CrossFit","0.00","451","00:35:58","139","190","2.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,950","--","--","-4","--","No","00:35:58","1","--","--","--","--","00:00:00","00:37:55","--","--"
Running,2024-12-07 10:14:15,false,"Eindhoven Carrera","5.02","465","00:30:12","146","166","3.1","161","178","6:01","4:12","27","27","1.03","8.3","8.5","263","6:00","390","0.0","374","740","--","--","--","4,900","--","--","-5","--","No","00:00:04.5","6","--","--","--","--","00:28:56","00:30:12","16","24"
Running,2024-12-06 16:31:31,false,"Eindhoven Carrera","10.02","923","00:54:38","162","180","4.3","163","184","5:27","4:01","23","27","1.12","7.8","8.7","254","5:25","419","0.0","404","585","--","--","--","9,094","--","--","-9","--","No","00:00:06.1","11","--","--","--","--","00:52:52","00:54:38","7","14"
Running,2024-12-04 19:40:06,false,"Eindhoven Carrera","5.00","425","00:27:29","147","162","3.0","169","198","5:29","4:31","11","15","1.07","8.1","8.7","260","5:32","417","0.0","407","564","--","--","--","4,674","--","--","--","--","No","00:00:00.9","6","--","--","--","--","00:27:10","00:27:29","9","18"
Cardio,2024-12-02 19:38:05,false,"CrossFit","0.00","542","00:38:07","150","186","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,074","--","--","-7","--","No","00:38:07","1","--","--","--","--","00:00:00","00:38:07","--","--"
Running,2024-12-01 10:03:29,false,"Eindhoven Carrera","10.82","1,082","01:22:51","140","172","3.5","129","181","7:39","3:28","36","33","1.00","8.5","8.4","271","7:31","354","0.0","287","714","--","--","--","11,180","--","--","-17","--","No","01:22:51","1","--","--","--","--","--:--:--","01:22:53","--","--"
Running,2024-12-01 10:03:29,false,"Eindhoven Carrera","10.82","1,082","01:22:51","140","172","3.5","129","181","7:39","3:28","36","33","1.00","8.5","8.4","271","7:31","354","0.0","287","714","--","--","--","11,180","--","--","-17","--","No","00:05:42.9","11","--","--","--","--","01:02:19","01:22:53","19","27"
Running,2024-11-30 10:10:25,false,"Eindhoven Carrera","4.92","451","00:30:02","146","155","3.0","168","217","6:06","2:24","4","8","0.99","8.6","8.4","269","6:01","391","0.0","371","948","--","--","--","5,026","--","--","-8","--","No","00:05:19.3","5","--","--","--","--","00:29:45","00:30:02","16","23"
Running,2024-11-27 19:45:48,false,"Eindhoven Carrera","4.99","461","00:28:59","157","168","3.2","168","177","5:48","4:59","15","23","1.03","8.4","8.6","268","5:50","404","0.0","395","532","--","--","--","4,872","--","--","-3","--","No","00:05:37.4","5","--","--","--","--","00:28:49","00:28:59","7","17"
Running,2024-11-26 10:32:39,false,"Eindhoven Carrera","11.51","1,067","01:07:39","158","171","4.0","163","172","5:52","3:41","13","15","1.05","8.4","8.9","271","5:50","396","0.0","389","661","--","--","--","11,048","--","--","-14","--","No","00:03:10.7","12","--","--","--","--","01:06:55","01:07:39","14","22"
Strength Training,2024-11-25 20:36:49,false,"Fuerza","0.00","421","00:37:29","128","164","2.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","6","3","1","-3","--","No","00:37:29","1","--","--","--","--","00:37:24","00:37:29","--","--"
Cycling,2024-11-24 13:46:33,false,"Eindhoven Ciclismo","44.28","1,140","01:56:32","135","166","3.2","--","--","22.8","41.7","161","170","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-12","--","No","00:11:05","9","--","--","--","--","01:53:59","01:56:32","4","26"
