Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2025-09-08 18:40:17,false,"CrossFit","0.00","410","00:26:08","156","181","3.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,084","--","--","-3","--","No","00:26:08","1","--","--","--","--","00:00:00","00:40:18","--","--"
Cardio,2025-09-04 19:36:19,false,"CrossFit","0.00","534","00:39:13","146","181","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,918","--","--","-5","--","No","00:39:13","1","--","--","--","--","00:00:00","00:40:15","--","--"
Running,2025-09-04 10:51:42,false,"Eindhoven Carrera","6.02","537","00:32:04","165","172","3.7","166","238","5:20","4:00","5","8","1.14","8.0","9.1","261","5:18","433","0.0","424","645","--","--","--","5,322","--","--","-7","--","No","00:00:09.0","7","--","--","--","--","00:31:53","00:32:04","12","20"
Running,2025-08-30 10:14:32,false,"Eindhoven Carrera","5.01","458","00:31:26","141","152","2.9","168","177","6:16","4:56","6","8","0.94","8.8","8.3","272","6:17","353","0.0","351","468","--","--","--","5,334","--","--","-8","--","No","00:00:04.9","6","--","--","--","--","00:31:24","00:31:26","13","18"
Running,2025-08-29 20:41:08,false,"Eindhoven Carrera","8.02","704","00:43:31","157","170","3.8","164","177","5:26","4:23","5","6","1.12","8.1","9.0","261","5:25","425","0.0","412","595","--","--","--","7,148","--","--","-7","--","No","00:00:06.0","9","--","--","--","--","00:42:43","00:43:31","15","20"
Trail Running,2025-08-28 19:09:24,false,"Geldrop-Mierlo Trail running","14.22","1,331","01:24:26","157","173","4.3","164","177","5:56","4:10","19","22","1.02","8.4","8.6","266","5:55","375","0.0","367","659","--","--","--","13,994","--","--","-10","--","No","00:01:16.8","15","--","--","--","--","01:22:49","01:24:26","16","28"
Running,2025-08-25 10:22:31,false,"Eindhoven Carrera","10.02","881","00:55:07","155","166","3.9","161","176","5:30","3:56","16","15","1.13","8.0","9.1","262","5:29","415","0.0","400","608","--","--","--","8,940","--","--","-13","--","No","00:00:07.6","11","--","--","--","--","00:53:33","00:55:07","15","23"
Running,2025-08-23 10:13:38,false,"Eindhoven Carrera","4.97","426","00:25:30","158","183","3.4","168","197","5:08","1:03","11","9","1.16","7.9","9.1","257","5:05","448","0.0","434","742","--","--","--","4,292","--","--","-8","--","No","00:04:24.2","5","--","--","--","--","00:25:29","00:25:30","15","19"
Running,2025-08-20 19:44:18,false,"Eindhoven Carrera","5.01","445","00:29:22","146","153","3.0","165","174","5:51","1:33","9","9","1.02","8.5","8.6","268","5:54","378","0.0","370","1,546","--","--","--","4,896","--","--","-4","--","No","00:00:04.5","6","--","--","--","--","00:28:51","00:29:22","13","18"
Cardio,2025-08-18 19:39:30,false,"CrossFit","0.00","463","00:28:48","158","183","3.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,268","--","--","-5","--","No","00:28:48","1","--","--","--","--","00:00:00","00:36:56","--","--"
Running,2025-08-18 10:21:27,false,"Eindhoven Carrera","3.81","317","00:19:03","156","168","3.0","168","177","5:00","4:21","33","2","1.20","7.8","9.3","255","4:58","448","0.0","446","576","--","--","--","3,202","--","--","-6","--","No","00:04:05.6","4","--","--","--","--","00:19:02","00:19:03","-12","19"
Running,2025-08-16 10:20:54,false,"Eindhoven Carrera","5.01","432","00:26:48","154","164","3.2","169","177","5:21","4:29","2","2","1.10","8.1","8.9","260","5:21","412","0.0","410","525","--","--","--","4,538","--","--","-4","--","No","00:00:05.0","6","--","--","--","--","00:26:46","00:26:48","19","22"
Running,2025-08-15 08:27:14,false,"Eindhoven Carrera","5.88","503","00:29:54","162","174","3.5","168","177","5:05","3:56","4","6","1.18","7.8","9.1","255","5:04","442","0.0","433","595","--","--","--","5,004","--","--","-8","--","No","00:04:39.1","6","--","--","--","--","00:29:46","00:29:54","15","20"
Cycling,2025-08-13 19:46:47,false,"Eindhoven Ciclismo","38.33","1,126","01:42:04","128","166","3.5","--","--","22.5","31.3","70","70","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-9","--","No","00:08:16.8","8","--","--","--","--","01:40:12","01:52:21","17","29"
Cardio,2025-08-11 19:37:44,false,"CrossFit","0.00","420","00:30:00","145","182","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,306","--","--","-4","--","No","00:30:00","1","--","--","--","--","00:00:00","00:40:26","--","--"
Running,2025-08-11 11:34:48,false,"Eindhoven Carrera","7.02","618","00:38:22","157","166","3.6","167","212","5:28","3:59","9","8","1.10","8.2","9.0","264","5:28","409","0.0","404","578","--","--","--","6,390","--","--","-10","--","No","00:00:05.8","8","--","--","--","--","00:38:20","00:38:22","13","19"
Cycling,2025-08-07 14:19:23,false,"Eindhoven Ciclismo","36.85","1,107","01:51:45","132","179","3.1","--","--","19.8","30.9","68","88","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-9","--","No","00:06:02.6","8","--","--","--","--","01:47:10","01:56:08","10","38"
Cardio,2025-08-06 18:38:54,false,"CrossFit","0.00","503","00:30:50","158","179","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,046","--","--","-4","--","No","00:30:50","1","--","--","--","--","00:00:00","00:37:35","--","--"
