Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-10-31 19:51:09,false,"Eindhoven Running","5.93","404","00:37:27","130","141","2.7","167","178","6:19","5:09","12","2","0.94","9.2","8.6","272","6:18","--","--","262","0.0","--","259","330","--","--","--","6,310","--","--","-7","--","No","00:05:34.5","6","--","--","--","--","--","--","--","--","--","00:37:25","00:47:48","17","29"
Strength Training,2025-10-31 17:44:02,false,"Strength","0.00","219","00:48:40","93","142","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","54","27","4","-3","--","No","00:48:40","1","--","--","--","--","--","--","--","--","--","00:19:04","00:48:40","--","--"
Running,2025-10-29 19:42:52,false,"Eindhoven - Intervals","14.06","918","01:13:15","150","164","4.4","167","195","5:13","3:48","36","25","1.14","8.2","9.3","255","5:12","--","--","316","0.0","--","306","453","--","--","--","12,358","--","--","-12","--","No","00:00:19.1","16","--","31","24","39","--","--","--","--","--","01:13:10","01:13:15","12","27"
Running,2025-10-28 20:51:35,false,"Eindhoven Running","6.01","385","00:35:47","129","135","2.6","164","174","5:57","5:01","25","9","1.02","9.0","9.2","274","5:55","--","--","286","0.0","--","282","375","--","--","--","5,880","--","--","--","--","No","00:00:02.5","7","--","31","19","37","--","--","--","--","--","00:35:43","00:36:23","2","23"
Strength Training,2025-10-28 16:52:15,false,"Strength","0.00","54","00:10:38","93","112","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8","4","1","-1","--","No","00:10:38","1","--","--","--","--","--","--","--","--","--","00:10:12","00:10:38","--","--"
Running,2025-10-26 14:28:47,false,"Eindhoven Running","23.06","1,490","02:12:28","135","143","4.2","168","176","5:45","3:46","111","98","1.04","8.8","9.1","268","5:44","--","--","292","0.0","--","290","526","--","--","--","22,176","--","--","-26","--","No","00:00:20.7","24","--","32","13","40","--","--","--","--","--","02:12:23","02:14:40","9","29"
Running,2025-10-25 10:11:18,false,"Eindhoven Running","5.01","334","00:29:09","136","144","2.8","168","172","5:49","4:49","15","12","1.03","8.8","9.1","268","5:47","--","--","287","0.0","--","285","369","--","--","--","4,874","--","--","-8","--","No","00:00:02.5","6","--","--","--","--","--","--","--","--","--","00:29:08","00:29:09","17","22"
Running,2025-10-23 15:18:12,false,"Eindhoven - Intervals","11.78","788","01:04:13","151","167","4.1","164","176","5:27","4:27","40","29","1.10","8.5","9.3","262","5:27","--","--","309","0.0","--","298","427","--","--","--","10,674","--","--","-11","--","No","00:01:37.7","15","--","31","20","46","--","--","--","--","--","01:04:05","01:04:46","5","28"
Strength Training,2025-10-22 18:26:44,false,"Strength","0.00","225","00:34:52","107","136","1.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","322","161","17","-2","--","No","00:34:52","1","--","--","--","--","--","--","--","--","--","00:12:10","00:34:52","--","--"
Running,2025-10-21 20:27:32,false,"Eindhoven Running","6.02","404","00:37:00","133","141","2.7","164","173","6:09","5:10","18","12","1.00","9.1","9.1","275","6:06","--","--","274","0.0","--","270","374","--","--","--","6,048","--","--","-6","--","No","00:00:08.5","7","--","30","19","37","--","--","--","--","--","00:36:40","00:37:00","8","23"
Strength Training,2025-10-20 18:09:07,false,"Strength","0.00","102","00:22:33","90","137","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","60","30","5","--","--","No","00:22:33","1","--","--","--","--","--","--","--","--","--","00:12:53","00:22:33","--","--"
Running,2025-10-19 10:15:03,false,"Eindhoven Running","9.76","654","01:02:31","130","139","3.0","168","180","6:24","3:34","26","21","0.93","9.2","8.6","273","6:23","--","--","258","0.0","--","256","465","--","--","--","10,468","--","--","-12","--","No","00:04:50.4","10","--","--","--","--","--","--","--","--","--","01:02:14","01:02:31","17","28"
Strength Training,2025-10-18 12:16:22,false,"Strength","0.00","111","00:18:23","102","167","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","224","112","9","--","--","No","00:18:23","1","--","--","--","--","--","--","--","--","--","00:05:31.2","00:18:23","--","--"
Running,2025-10-18 10:14:54,false,"Eindhoven Running","5.01","337","00:30:12","133","139","2.7","169","175","6:02","5:23","12","7","0.99","8.9","8.8","270","6:00","--","--","273","0.0","--","272","342","--","--","--","5,072","--","--","-6","--","No","00:00:02.4","6","--","--","--","--","--","--","--","--","--","00:30:09","00:30:12","16","25"
Running,2025-10-16 18:24:09,false,"Eindhoven Running","6.02","397","00:36:09","129","138","2.8","166","180","6:00","3:36","15","5","1.01","8.9","9.0","270","5:58","--","--","275","0.0","--","273","443","--","--","--","5,990","--","--","-8","--","No","00:00:06.5","7","--","34","19","40","--","--","--","--","--","00:35:54","00:36:09","8","22"
Running,2025-10-15 18:24:57,false,"Eindhoven Running","3.03","206","00:19:00","125","132","2.2","164","174","6:17","4:32","11","1","0.98","9.1","8.9","272","6:12","--","--","270","0.0","--","265","376","--","--","--","3,082","--","--","-4","--","No","00:00:09.4","4","--","36","21","44","--","--","--","--","--","00:18:30","00:19:00","9","21"
